,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
0,"Tue, Oct 16, 2018",Philadelphia 76ers,87,Boston Celtics,105
1,"Tue, Oct 16, 2018",Oklahoma City Thunder,100,Golden State Warriors,108
2,"Wed, Oct 17, 2018",Milwaukee Bucks,113,Charlotte Hornets,112
3,"Wed, Oct 17, 2018",Brooklyn Nets,100,Detroit Pistons,103
4,"Wed, Oct 17, 2018",Memphis Grizzlies,83,Indiana Pacers,111
5,"Wed, Oct 17, 2018",Miami Heat,101,Orlando Magic,104
6,"Wed, Oct 17, 2018",Atlanta Hawks,107,New York Knicks,126
7,"Wed, Oct 17, 2018",Cleveland Cavaliers,104,Toronto Raptors,116
8,"Wed, Oct 17, 2018",New Orleans Pelicans,131,Houston Rockets,112
9,"Wed, Oct 17, 2018",Minnesota Timberwolves,108,San Antonio Spurs,112
10,"Wed, Oct 17, 2018",Utah Jazz,123,Sacramento Kings,117
11,"Wed, Oct 17, 2018",Denver Nuggets,107,Los Angeles Clippers,98
12,"Wed, Oct 17, 2018",Dallas Mavericks,100,Phoenix Suns,121
13,"Thu, Oct 18, 2018",Chicago Bulls,108,Philadelphia 76ers,127
14,"Thu, Oct 18, 2018",Miami Heat,113,Washington Wizards,112
15,"Thu, Oct 18, 2018",Los Angeles Lakers,119,Portland Trail Blazers,128
16,"Fri, Oct 19, 2018",Charlotte Hornets,120,Orlando Magic,88
17,"Fri, Oct 19, 2018",New York Knicks,105,Brooklyn Nets,107
18,"Fri, Oct 19, 2018",Atlanta Hawks,117,Memphis Grizzlies,131
19,"Fri, Oct 19, 2018",Cleveland Cavaliers,123,Minnesota Timberwolves,131
20,"Fri, Oct 19, 2018",Sacramento Kings,129,New Orleans Pelicans,149
21,"Fri, Oct 19, 2018",Boston Celtics,101,Toronto Raptors,113
22,"Fri, Oct 19, 2018",Indiana Pacers,101,Milwaukee Bucks,118
23,"Fri, Oct 19, 2018",Oklahoma City Thunder,92,Los Angeles Clippers,108
24,"Fri, Oct 19, 2018",Golden State Warriors,124,Utah Jazz,123
25,"Sat, Oct 20, 2018",Brooklyn Nets,112,Indiana Pacers,132
26,"Sat, Oct 20, 2018",Toronto Raptors,117,Washington Wizards,113
27,"Sat, Oct 20, 2018",Boston Celtics,103,New York Knicks,101
28,"Sat, Oct 20, 2018",Orlando Magic,115,Philadelphia 76ers,116
29,"Sat, Oct 20, 2018",Detroit Pistons,118,Chicago Bulls,116
30,"Sat, Oct 20, 2018",Charlotte Hornets,113,Miami Heat,112
31,"Sat, Oct 20, 2018",Minnesota Timberwolves,136,Dallas Mavericks,140
32,"Sat, Oct 20, 2018",Phoenix Suns,91,Denver Nuggets,119
33,"Sat, Oct 20, 2018",San Antonio Spurs,108,Portland Trail Blazers,121
34,"Sat, Oct 20, 2018",Houston Rockets,124,Los Angeles Lakers,115
35,"Sun, Oct 21, 2018",Atlanta Hawks,133,Cleveland Cavaliers,111
36,"Sun, Oct 21, 2018",Sacramento Kings,131,Oklahoma City Thunder,120
37,"Sun, Oct 21, 2018",Golden State Warriors,98,Denver Nuggets,100
38,"Sun, Oct 21, 2018",Houston Rockets,112,Los Angeles Clippers,115
39,"Mon, Oct 22, 2018",Orlando Magic,93,Boston Celtics,90
40,"Mon, Oct 22, 2018",Charlotte Hornets,106,Toronto Raptors,127
41,"Mon, Oct 22, 2018",New York Knicks,113,Milwaukee Bucks,124
42,"Mon, Oct 22, 2018",Indiana Pacers,91,Minnesota Timberwolves,101
43,"Mon, Oct 22, 2018",Chicago Bulls,109,Dallas Mavericks,115
44,"Mon, Oct 22, 2018",Memphis Grizzlies,92,Utah Jazz,84
45,"Mon, Oct 22, 2018",Washington Wizards,125,Portland Trail Blazers,124
46,"Mon, Oct 22, 2018",Phoenix Suns,103,Golden State Warriors,123
47,"Mon, Oct 22, 2018",San Antonio Spurs,143,Los Angeles Lakers,142
48,"Tue, Oct 23, 2018",Philadelphia 76ers,132,Detroit Pistons,133
49,"Tue, Oct 23, 2018",Los Angeles Clippers,109,New Orleans Pelicans,116
50,"Tue, Oct 23, 2018",Sacramento Kings,112,Denver Nuggets,126
