,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
77,"Fri, Nov 7, 2014",Memphis Grizzlies,91,Oklahoma City Thunder,89
78,"Fri, Nov 7, 2014",Sacramento Kings,114,Phoenix Suns,112
79,"Fri, Nov 7, 2014",Dallas Mavericks,105,Utah Jazz,82
80,"Fri, Nov 7, 2014",Cleveland Cavaliers,110,Denver Nuggets,101
81,"Sat, Nov 8, 2014",Portland Trail Blazers,102,Los Angeles Clippers,106
82,"Sat, Nov 8, 2014",Washington Wizards,97,Indiana Pacers,90
83,"Sat, Nov 8, 2014",New York Knicks,96,Atlanta Hawks,103
84,"Sat, Nov 8, 2014",Minnesota Timberwolves,92,Miami Heat,102
85,"Sat, Nov 8, 2014",Boston Celtics,106,Chicago Bulls,101
86,"Sat, Nov 8, 2014",Golden State Warriors,98,Houston Rockets,87
87,"Sat, Nov 8, 2014",Memphis Grizzlies,92,Milwaukee Bucks,93
88,"Sat, Nov 8, 2014",New Orleans Pelicans,100,San Antonio Spurs,99
89,"Sun, Nov 9, 2014",Orlando Magic,96,Brooklyn Nets,104
90,"Sun, Nov 9, 2014",Utah Jazz,97,Detroit Pistons,96
91,"Sun, Nov 9, 2014",Sacramento Kings,93,Oklahoma City Thunder,101
92,"Sun, Nov 9, 2014",Philadelphia 76ers,88,Toronto Raptors,120
93,"Sun, Nov 9, 2014",Miami Heat,105,Dallas Mavericks,96
94,"Sun, Nov 9, 2014",Golden State Warriors,95,Phoenix Suns,107
95,"Sun, Nov 9, 2014",Denver Nuggets,100,Portland Trail Blazers,116
96,"Sun, Nov 9, 2014",Charlotte Hornets,92,Los Angeles Lakers,107
97,"Mon, Nov 10, 2014",New Orleans Pelicans,111,Cleveland Cavaliers,118
98,"Mon, Nov 10, 2014",Utah Jazz,86,Indiana Pacers,97
99,"Mon, Nov 10, 2014",Atlanta Hawks,91,New York Knicks,85
100,"Mon, Nov 10, 2014",Detroit Pistons,91,Chicago Bulls,102
101,"Mon, Nov 10, 2014",San Antonio Spurs,89,Los Angeles Clippers,85
102,"Tue, Nov 11, 2014",Orlando Magic,100,Toronto Raptors,104
103,"Tue, Nov 11, 2014",Los Angeles Lakers,102,Memphis Grizzlies,107
104,"Tue, Nov 11, 2014",Oklahoma City Thunder,78,Milwaukee Bucks,85
105,"Tue, Nov 11, 2014",Sacramento Kings,98,Dallas Mavericks,106
106,"Tue, Nov 11, 2014",Charlotte Hornets,100,Portland Trail Blazers,102
107,"Tue, Nov 11, 2014",San Antonio Spurs,113,Golden State Warriors,100
108,"Wed, Nov 12, 2014",Detroit Pistons,103,Washington Wizards,107
109,"Wed, Nov 12, 2014",Utah Jazz,97,Atlanta Hawks,100
110,"Wed, Nov 12, 2014",Oklahoma City Thunder,109,Boston Celtics,94
111,"Wed, Nov 12, 2014",Indiana Pacers,81,Miami Heat,75
112,"Wed, Nov 12, 2014",Orlando Magic,97,New York Knicks,95
113,"Wed, Nov 12, 2014",Los Angeles Lakers,102,New Orleans Pelicans,109
114,"Wed, Nov 12, 2014",Portland Trail Blazers,130,Denver Nuggets,113
115,"Wed, Nov 12, 2014",Brooklyn Nets,104,Phoenix Suns,112
116,"Wed, Nov 12, 2014",Houston Rockets,113,Minnesota Timberwolves,101
117,"Thu, Nov 13, 2014",Sacramento Kings,110,Memphis Grizzlies,111
118,"Thu, Nov 13, 2014",Chicago Bulls,100,Toronto Raptors,93
119,"Thu, Nov 13, 2014",Philadelphia 76ers,70,Dallas Mavericks,123
120,"Thu, Nov 13, 2014",Brooklyn Nets,99,Golden State Warriors,107
121,"Fri, Nov 14, 2014",Denver Nuggets,108,Indiana Pacers,87
122,"Fri, Nov 14, 2014",Milwaukee Bucks,85,Orlando Magic,101
123,"Fri, Nov 14, 2014",Miami Heat,103,Atlanta Hawks,114
124,"Fri, Nov 14, 2014",Cleveland Cavaliers,122,Boston Celtics,121
125,"Fri, Nov 14, 2014",Utah Jazz,102,New York Knicks,100
126,"Fri, Nov 14, 2014",Philadelphia 76ers,87,Houston Rockets,88
127,"Fri, Nov 14, 2014",Minnesota Timberwolves,91,New Orleans Pelicans,139
128,"Fri, Nov 14, 2014",Detroit Pistons,96,Oklahoma City Thunder,89
129,"Fri, Nov 14, 2014",Charlotte Hornets,103,Phoenix Suns,95
130,"Fri, Nov 14, 2014",San Antonio Spurs,93,Los Angeles Lakers,80
131,"Sat, Nov 15, 2014",Orlando Magic,93,Washington Wizards,98
132,"Sat, Nov 15, 2014",Atlanta Hawks,94,Cleveland Cavaliers,127
133,"Sat, Nov 15, 2014",Utah Jazz,93,Toronto Raptors,111
134,"Sat, Nov 15, 2014",Indiana Pacers,99,Chicago Bulls,90
135,"Sat, Nov 15, 2014",Detroit Pistons,88,Memphis Grizzlies,95
136,"Sat, Nov 15, 2014",Minnesota Timberwolves,117,Dallas Mavericks,131
137,"Sat, Nov 15, 2014",Brooklyn Nets,87,Portland Trail Blazers,97
138,"Sat, Nov 15, 2014",San Antonio Spurs,91,Sacramento Kings,94
139,"Sat, Nov 15, 2014",Charlotte Hornets,87,Golden State Warriors,112
140,"Sat, Nov 15, 2014",Phoenix Suns,107,Los Angeles Clippers,120
141,"Sun, Nov 16, 2014",Denver Nuggets,93,New York Knicks,109
142,"Sun, Nov 16, 2014",Milwaukee Bucks,91,Miami Heat,84
143,"Sun, Nov 16, 2014",Houston Rockets,69,Oklahoma City Thunder,65
144,"Sun, Nov 16, 2014",Golden State Warriors,136,Los Angeles Lakers,115
145,"Mon, Nov 17, 2014",Dallas Mavericks,107,Charlotte Hornets,80
146,"Mon, Nov 17, 2014",Denver Nuggets,106,Cleveland Cavaliers,97
147,"Mon, Nov 17, 2014",Phoenix Suns,118,Boston Celtics,114
148,"Mon, Nov 17, 2014",Miami Heat,95,Brooklyn Nets,83
149,"Mon, Nov 17, 2014",Orlando Magic,107,Detroit Pistons,93
150,"Mon, Nov 17, 2014",Houston Rockets,93,Memphis Grizzlies,119
151,"Mon, Nov 17, 2014",Philadelphia 76ers,75,San Antonio Spurs,100
152,"Mon, Nov 17, 2014",New Orleans Pelicans,93,Portland Trail Blazers,102
153,"Mon, Nov 17, 2014",Chicago Bulls,105,Los Angeles Clippers,89
154,"Tue, Nov 18, 2014",Los Angeles Lakers,114,Atlanta Hawks,109
155,"Tue, Nov 18, 2014",New York Knicks,113,Milwaukee Bucks,117
156,"Tue, Nov 18, 2014",Oklahoma City Thunder,81,Utah Jazz,98
157,"Tue, Nov 18, 2014",New Orleans Pelicans,106,Sacramento Kings,100
158,"Wed, Nov 19, 2014",San Antonio Spurs,92,Cleveland Cavaliers,90
159,"Wed, Nov 19, 2014",Charlotte Hornets,86,Indiana Pacers,88
160,"Wed, Nov 19, 2014",Los Angeles Clippers,114,Orlando Magic,90
161,"Wed, Nov 19, 2014",Boston Celtics,101,Philadelphia 76ers,90
162,"Wed, Nov 19, 2014",Dallas Mavericks,105,Washington Wizards,102
163,"Wed, Nov 19, 2014",Milwaukee Bucks,122,Brooklyn Nets,118
164,"Wed, Nov 19, 2014",Phoenix Suns,88,Detroit Pistons,86
165,"Wed, Nov 19, 2014",Memphis Grizzlies,92,Toronto Raptors,96
166,"Wed, Nov 19, 2014",New York Knicks,99,Minnesota Timberwolves,115
167,"Wed, Nov 19, 2014",Oklahoma City Thunder,100,Denver Nuggets,107
168,"Wed, Nov 19, 2014",Los Angeles Lakers,98,Houston Rockets,92
169,"Thu, Nov 20, 2014",Los Angeles Clippers,110,Miami Heat,93
170,"Thu, Nov 20, 2014",Chicago Bulls,88,Sacramento Kings,103
171,"Fri, Nov 21, 2014",Orlando Magic,105,Charlotte Hornets,100
172,"Fri, Nov 21, 2014",Phoenix Suns,122,Philadelphia 76ers,96
173,"Fri, Nov 21, 2014",Detroit Pistons,89,Atlanta Hawks,99
174,"Fri, Nov 21, 2014",Milwaukee Bucks,82,Toronto Raptors,124
175,"Fri, Nov 21, 2014",Boston Celtics,100,Memphis Grizzlies,117
176,"Fri, Nov 21, 2014",San Antonio Spurs,121,Minnesota Timberwolves,92
177,"Fri, Nov 21, 2014",Brooklyn Nets,94,Oklahoma City Thunder,92
178,"Fri, Nov 21, 2014",Cleveland Cavaliers,78,Washington Wizards,91
179,"Fri, Nov 21, 2014",Los Angeles Lakers,106,Dallas Mavericks,140
180,"Fri, Nov 21, 2014",New Orleans Pelicans,97,Denver Nuggets,117
181,"Fri, Nov 21, 2014",Utah Jazz,88,Golden State Warriors,101
182,"Fri, Nov 21, 2014",Chicago Bulls,87,Portland Trail Blazers,105
183,"Sat, Nov 22, 2014",Phoenix Suns,106,Indiana Pacers,83
184,"Sat, Nov 22, 2014",Miami Heat,99,Orlando Magic,92
185,"Sat, Nov 22, 2014",Toronto Raptors,110,Cleveland Cavaliers,93
186,"Sat, Nov 22, 2014",Philadelphia 76ers,83,New York Knicks,91
187,"Sat, Nov 22, 2014",Dallas Mavericks,92,Houston Rockets,95
188,"Sat, Nov 22, 2014",Sacramento Kings,113,Minnesota Timberwolves,101
189,"Sat, Nov 22, 2014",Washington Wizards,111,Milwaukee Bucks,100
190,"Sat, Nov 22, 2014",Brooklyn Nets,87,San Antonio Spurs,99
191,"Sat, Nov 22, 2014",New Orleans Pelicans,106,Utah Jazz,94
192,"Sun, Nov 23, 2014",Portland Trail Blazers,94,Boston Celtics,88
193,"Sun, Nov 23, 2014",Los Angeles Clippers,91,Memphis Grizzlies,107
194,"Sun, Nov 23, 2014",Charlotte Hornets,93,Miami Heat,94
195,"Sun, Nov 23, 2014",Golden State Warriors,91,Oklahoma City Thunder,86
196,"Sun, Nov 23, 2014",Denver Nuggets,101,Los Angeles Lakers,94
197,"Mon, Nov 24, 2014",Los Angeles Clippers,113,Charlotte Hornets,92
198,"Mon, Nov 24, 2014",Orlando Magic,74,Cleveland Cavaliers,106
199,"Mon, Nov 24, 2014",Portland Trail Blazers,114,Philadelphia 76ers,104
200,"Mon, Nov 24, 2014",Phoenix Suns,100,Toronto Raptors,104
201,"Mon, Nov 24, 2014",New York Knicks,86,Houston Rockets,91
202,"Mon, Nov 24, 2014",Indiana Pacers,111,Dallas Mavericks,100
203,"Mon, Nov 24, 2014",Chicago Bulls,97,Utah Jazz,95
204,"Tue, Nov 25, 2014",Atlanta Hawks,106,Washington Wizards,102
205,"Tue, Nov 25, 2014",Golden State Warriors,114,Miami Heat,97
206,"Tue, Nov 25, 2014",Detroit Pistons,86,Milwaukee Bucks,98
207,"Tue, Nov 25, 2014",Sacramento Kings,99,New Orleans Pelicans,89
208,"Tue, Nov 25, 2014",Chicago Bulls,109,Denver Nuggets,114
209,"Wed, Nov 26, 2014",Portland Trail Blazers,105,Charlotte Hornets,97
210,"Wed, Nov 26, 2014",Washington Wizards,87,Cleveland Cavaliers,113
211,"Wed, Nov 26, 2014",Golden State Warriors,111,Orlando Magic,96
212,"Wed, Nov 26, 2014",Brooklyn Nets,99,Philadelphia 76ers,91
213,"Wed, Nov 26, 2014",Toronto Raptors,126,Atlanta Hawks,115
214,"Wed, Nov 26, 2014",New York Knicks,102,Dallas Mavericks,109
215,"Wed, Nov 26, 2014",Los Angeles Clippers,104,Detroit Pistons,98
216,"Wed, Nov 26, 2014",Sacramento Kings,89,Houston Rockets,102
217,"Wed, Nov 26, 2014",Milwaukee Bucks,103,Minnesota Timberwolves,86
218,"Wed, Nov 26, 2014",Utah Jazz,82,Oklahoma City Thunder,97
219,"Wed, Nov 26, 2014",Indiana Pacers,100,San Antonio Spurs,106
220,"Wed, Nov 26, 2014",Denver Nuggets,112,Phoenix Suns,120
221,"Wed, Nov 26, 2014",Memphis Grizzlies,99,Los Angeles Lakers,93
222,"Fri, Nov 28, 2014",Chicago Bulls,109,Boston Celtics,102
223,"Fri, Nov 28, 2014",Golden State Warriors,106,Charlotte Hornets,101
224,"Fri, Nov 28, 2014",New Orleans Pelicans,91,Atlanta Hawks,100
225,"Fri, Nov 28, 2014",Milwaukee Bucks,104,Detroit Pistons,88
226,"Fri, Nov 28, 2014",Dallas Mavericks,106,Toronto Raptors,102
227,"Fri, Nov 28, 2014",Los Angeles Clippers,102,Houston Rockets,85
228,"Fri, Nov 28, 2014",Orlando Magic,83,Indiana Pacers,98
229,"Fri, Nov 28, 2014",New York Knicks,78,Oklahoma City Thunder,105
230,"Fri, Nov 28, 2014",Sacramento Kings,104,San Antonio Spurs,112
231,"Fri, Nov 28, 2014",Phoenix Suns,97,Denver Nuggets,122
232,"Fri, Nov 28, 2014",Memphis Grizzlies,112,Portland Trail Blazers,99
233,"Fri, Nov 28, 2014",Minnesota Timberwolves,120,Los Angeles Lakers,119
234,"Sat, Nov 29, 2014",Dallas Mavericks,110,Philadelphia 76ers,103
235,"Sat, Nov 29, 2014",New Orleans Pelicans,80,Washington Wizards,83
236,"Sat, Nov 29, 2014",Charlotte Hornets,75,Atlanta Hawks,105
237,"Sat, Nov 29, 2014",Indiana Pacers,97,Cleveland Cavaliers,109
238,"Sat, Nov 29, 2014",Houston Rockets,117,Milwaukee Bucks,103
239,"Sat, Nov 29, 2014",Los Angeles Clippers,112,Utah Jazz,96
240,"Sun, Nov 30, 2014",San Antonio Spurs,111,Boston Celtics,89
241,"Sun, Nov 30, 2014",Chicago Bulls,102,Brooklyn Nets,84
242,"Sun, Nov 30, 2014",Golden State Warriors,104,Detroit Pistons,93
243,"Sun, Nov 30, 2014",Memphis Grizzlies,97,Sacramento Kings,85
244,"Sun, Nov 30, 2014",Miami Heat,86,New York Knicks,79
245,"Sun, Nov 30, 2014",Orlando Magic,93,Phoenix Suns,90
246,"Sun, Nov 30, 2014",Minnesota Timberwolves,93,Portland Trail Blazers,107
247,"Sun, Nov 30, 2014",Toronto Raptors,122,Los Angeles Lakers,129
248,"Mon, Dec 1, 2014",San Antonio Spurs,109,Philadelphia 76ers,103
249,"Mon, Dec 1, 2014",Miami Heat,86,Washington Wizards,107
250,"Mon, Dec 1, 2014",Denver Nuggets,103,Utah Jazz,101
251,"Mon, Dec 1, 2014",Minnesota Timberwolves,101,Los Angeles Clippers,127
252,"Tue, Dec 2, 2014",Milwaukee Bucks,108,Cleveland Cavaliers,111
253,"Tue, Dec 2, 2014",Boston Celtics,105,Atlanta Hawks,109
254,"Tue, Dec 2, 2014",Los Angeles Lakers,106,Detroit Pistons,96
255,"Tue, Dec 2, 2014",Brooklyn Nets,98,New York Knicks,93
256,"Tue, Dec 2, 2014",Dallas Mavericks,132,Chicago Bulls,129
257,"Tue, Dec 2, 2014",Oklahoma City Thunder,104,New Orleans Pelicans,112
258,"Tue, Dec 2, 2014",Portland Trail Blazers,105,Denver Nuggets,103
259,"Tue, Dec 2, 2014",Indiana Pacers,99,Phoenix Suns,116
260,"Tue, Dec 2, 2014",Toronto Raptors,117,Sacramento Kings,109
261,"Tue, Dec 2, 2014",Orlando Magic,97,Golden State Warriors,98
262,"Wed, Dec 3, 2014",Chicago Bulls,102,Charlotte Hornets,95
263,"Wed, Dec 3, 2014",Los Angeles Lakers,95,Washington Wizards,111
264,"Wed, Dec 3, 2014",Detroit Pistons,102,Boston Celtics,109
265,"Wed, Dec 3, 2014",San Antonio Spurs,93,Brooklyn Nets,95
266,"Wed, Dec 3, 2014",Atlanta Hawks,112,Miami Heat,102
267,"Wed, Dec 3, 2014",Memphis Grizzlies,96,Houston Rockets,105
268,"Wed, Dec 3, 2014",Dallas Mavericks,107,Milwaukee Bucks,105
269,"Wed, Dec 3, 2014",Philadelphia 76ers,85,Minnesota Timberwolves,77
270,"Wed, Dec 3, 2014",Toronto Raptors,123,Utah Jazz,104
271,"Wed, Dec 3, 2014",Orlando Magic,86,Los Angeles Clippers,114
272,"Thu, Dec 4, 2014",Cleveland Cavaliers,90,New York Knicks,87
273,"Thu, Dec 4, 2014",Indiana Pacers,82,Portland Trail Blazers,88
274,"Thu, Dec 4, 2014",New Orleans Pelicans,85,Golden State Warriors,112
275,"Fri, Dec 5, 2014",New York Knicks,102,Charlotte Hornets,103
276,"Fri, Dec 5, 2014",Oklahoma City Thunder,103,Philadelphia 76ers,91
277,"Fri, Dec 5, 2014",Denver Nuggets,89,Washington Wizards,119
278,"Fri, Dec 5, 2014",Los Angeles Lakers,96,Boston Celtics,113
279,"Fri, Dec 5, 2014",Atlanta Hawks,98,Brooklyn Nets,75
280,"Fri, Dec 5, 2014",Cleveland Cavaliers,105,Toronto Raptors,91
281,"Fri, Dec 5, 2014",San Antonio Spurs,107,Memphis Grizzlies,101
282,"Fri, Dec 5, 2014",Houston Rockets,114,Minnesota Timberwolves,112
283,"Fri, Dec 5, 2014",Phoenix Suns,118,Dallas Mavericks,106
284,"Fri, Dec 5, 2014",Miami Heat,85,Milwaukee Bucks,109
285,"Fri, Dec 5, 2014",Orlando Magic,98,Utah Jazz,93
286,"Fri, Dec 5, 2014",Indiana Pacers,101,Sacramento Kings,102
287,"Sat, Dec 6, 2014",Philadelphia 76ers,108,Detroit Pistons,101
288,"Sat, Dec 6, 2014",Golden State Warriors,112,Chicago Bulls,102
289,"Sat, Dec 6, 2014",Phoenix Suns,95,Houston Rockets,100
290,"Sat, Dec 6, 2014",Minnesota Timberwolves,101,San Antonio Spurs,123
291,"Sat, Dec 6, 2014",Orlando Magic,105,Sacramento Kings,96
292,"Sat, Dec 6, 2014",New Orleans Pelicans,100,Los Angeles Clippers,120
293,"Sun, Dec 7, 2014",Washington Wizards,93,Boston Celtics,101
294,"Sun, Dec 7, 2014",Denver Nuggets,84,Atlanta Hawks,96
295,"Sun, Dec 7, 2014",Oklahoma City Thunder,96,Detroit Pistons,94
296,"Sun, Dec 7, 2014",Miami Heat,87,Memphis Grizzlies,103
297,"Sun, Dec 7, 2014",Milwaukee Bucks,102,Dallas Mavericks,125
298,"Sun, Dec 7, 2014",Portland Trail Blazers,103,New York Knicks,99
299,"Sun, Dec 7, 2014",New Orleans Pelicans,104,Los Angeles Lakers,87
300,"Mon, Dec 8, 2014",Atlanta Hawks,108,Indiana Pacers,92
301,"Mon, Dec 8, 2014",Boston Celtics,132,Washington Wizards,133
302,"Mon, Dec 8, 2014",Cleveland Cavaliers,110,Brooklyn Nets,88
303,"Mon, Dec 8, 2014",Denver Nuggets,107,Toronto Raptors,112
304,"Mon, Dec 8, 2014",Golden State Warriors,102,Minnesota Timberwolves,86
305,"Mon, Dec 8, 2014",Utah Jazz,92,Sacramento Kings,101
306,"Mon, Dec 8, 2014",Phoenix Suns,120,Los Angeles Clippers,121
307,"Tue, Dec 9, 2014",Toronto Raptors,101,Cleveland Cavaliers,105
308,"Tue, Dec 9, 2014",Portland Trail Blazers,98,Detroit Pistons,86
309,"Tue, Dec 9, 2014",Dallas Mavericks,105,Memphis Grizzlies,114
310,"Tue, Dec 9, 2014",New York Knicks,93,New Orleans Pelicans,104
311,"Tue, Dec 9, 2014",Milwaukee Bucks,101,Oklahoma City Thunder,114
312,"Tue, Dec 9, 2014",Miami Heat,103,Phoenix Suns,97
313,"Tue, Dec 9, 2014",San Antonio Spurs,96,Utah Jazz,100
314,"Tue, Dec 9, 2014",Sacramento Kings,95,Los Angeles Lakers,98
315,"Wed, Dec 10, 2014",Boston Celtics,87,Charlotte Hornets,96
316,"Wed, Dec 10, 2014",Los Angeles Clippers,103,Indiana Pacers,96
317,"Wed, Dec 10, 2014",Washington Wizards,91,Orlando Magic,89
318,"Wed, Dec 10, 2014",Philadelphia 76ers,79,Atlanta Hawks,95
319,"Wed, Dec 10, 2014",Brooklyn Nets,80,Chicago Bulls,105
320,"Wed, Dec 10, 2014",New Orleans Pelicans,107,Dallas Mavericks,112
321,"Wed, Dec 10, 2014",Portland Trail Blazers,82,Minnesota Timberwolves,90
322,"Wed, Dec 10, 2014",New York Knicks,95,San Antonio Spurs,109
323,"Wed, Dec 10, 2014",Miami Heat,82,Denver Nuggets,102
324,"Wed, Dec 10, 2014",Houston Rockets,93,Golden State Warriors,105
325,"Thu, Dec 11, 2014",Cleveland Cavaliers,94,Oklahoma City Thunder,103
326,"Thu, Dec 11, 2014",Houston Rockets,113,Sacramento Kings,109
327,"Fri, Dec 12, 2014",Portland Trail Blazers,106,Chicago Bulls,115
328,"Fri, Dec 12, 2014",Los Angeles Clippers,96,Washington Wizards,104
329,"Fri, Dec 12, 2014",Orlando Magic,81,Atlanta Hawks,87
330,"Fri, Dec 12, 2014",New York Knicks,101,Boston Celtics,95
331,"Fri, Dec 12, 2014",Philadelphia 76ers,70,Brooklyn Nets,88
332,"Fri, Dec 12, 2014",Indiana Pacers,94,Toronto Raptors,106
333,"Fri, Dec 12, 2014",Charlotte Hornets,107,Memphis Grizzlies,113
334,"Fri, Dec 12, 2014",Oklahoma City Thunder,111,Minnesota Timberwolves,92
335,"Fri, Dec 12, 2014",Cleveland Cavaliers,114,New Orleans Pelicans,119
336,"Fri, Dec 12, 2014",Detroit Pistons,105,Phoenix Suns,103
337,"Fri, Dec 12, 2014",Miami Heat,100,Utah Jazz,95
338,"Fri, Dec 12, 2014",Los Angeles Lakers,112,San Antonio Spurs,110
339,"Sat, Dec 13, 2014",Golden State Warriors,105,Dallas Mavericks,98
340,"Sat, Dec 13, 2014",Brooklyn Nets,114,Charlotte Hornets,87
341,"Sat, Dec 13, 2014",Portland Trail Blazers,95,Indiana Pacers,85
342,"Sat, Dec 13, 2014",Atlanta Hawks,99,Orlando Magic,100
343,"Sat, Dec 13, 2014",Los Angeles Clippers,106,Milwaukee Bucks,111
344,"Sat, Dec 13, 2014",Memphis Grizzlies,120,Philadelphia 76ers,115
345,"Sat, Dec 13, 2014",Denver Nuggets,96,Houston Rockets,108
