,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
0,"Tue, Oct 28, 2014",Orlando Magic,84,New Orleans Pelicans,101
1,"Tue, Oct 28, 2014",Dallas Mavericks,100,San Antonio Spurs,101
2,"Tue, Oct 28, 2014",Houston Rockets,108,Los Angeles Lakers,90
3,"Wed, Oct 29, 2014",Milwaukee Bucks,106,Charlotte Hornets,108
4,"Wed, Oct 29, 2014",Philadelphia 76ers,91,Indiana Pacers,103
5,"Wed, Oct 29, 2014",Atlanta Hawks,102,Toronto Raptors,109
6,"Wed, Oct 29, 2014",Washington Wizards,95,Miami Heat,107
7,"Wed, Oct 29, 2014",Brooklyn Nets,105,Boston Celtics,121
8,"Wed, Oct 29, 2014",Chicago Bulls,104,New York Knicks,80
9,"Wed, Oct 29, 2014",Minnesota Timberwolves,101,Memphis Grizzlies,105
10,"Wed, Oct 29, 2014",Detroit Pistons,79,Denver Nuggets,89
11,"Wed, Oct 29, 2014",Houston Rockets,104,Utah Jazz,93
12,"Wed, Oct 29, 2014",Los Angeles Lakers,99,Phoenix Suns,119
13,"Wed, Oct 29, 2014",Golden State Warriors,95,Sacramento Kings,77
14,"Wed, Oct 29, 2014",Oklahoma City Thunder,89,Portland Trail Blazers,106
15,"Thu, Oct 30, 2014",Washington Wizards,105,Orlando Magic,98
16,"Thu, Oct 30, 2014",New York Knicks,95,Cleveland Cavaliers,90
17,"Thu, Oct 30, 2014",Detroit Pistons,91,Minnesota Timberwolves,97
18,"Thu, Oct 30, 2014",Utah Jazz,102,Dallas Mavericks,120
19,"Thu, Oct 30, 2014",Oklahoma City Thunder,90,Los Angeles Clippers,93
20,"Fri, Oct 31, 2014",Memphis Grizzlies,97,Indiana Pacers,89
21,"Fri, Oct 31, 2014",Cleveland Cavaliers,114,Chicago Bulls,108
22,"Fri, Oct 31, 2014",Philadelphia 76ers,81,Milwaukee Bucks,93
23,"Fri, Oct 31, 2014",San Antonio Spurs,89,Phoenix Suns,94
24,"Fri, Oct 31, 2014",Portland Trail Blazers,94,Sacramento Kings,103
25,"Fri, Oct 31, 2014",Los Angeles Clippers,118,Los Angeles Lakers,111
26,"Sat, Nov 1, 2014",Memphis Grizzlies,71,Charlotte Hornets,69
27,"Sat, Nov 1, 2014",Dallas Mavericks,109,New Orleans Pelicans,104
28,"Sat, Nov 1, 2014",Toronto Raptors,108,Orlando Magic,95
29,"Sat, Nov 1, 2014",Miami Heat,114,Philadelphia 76ers,96
30,"Sat, Nov 1, 2014",Milwaukee Bucks,97,Washington Wizards,108
31,"Sat, Nov 1, 2014",Indiana Pacers,92,Atlanta Hawks,102
32,"Sat, Nov 1, 2014",Brooklyn Nets,102,Detroit Pistons,90
33,"Sat, Nov 1, 2014",Boston Celtics,90,Houston Rockets,104
34,"Sat, Nov 1, 2014",Chicago Bulls,106,Minnesota Timberwolves,105
35,"Sat, Nov 1, 2014",Denver Nuggets,91,Oklahoma City Thunder,102
36,"Sat, Nov 1, 2014",Phoenix Suns,91,Utah Jazz,118
37,"Sat, Nov 1, 2014",Los Angeles Lakers,104,Golden State Warriors,127
38,"Sun, Nov 2, 2014",Sacramento Kings,98,Los Angeles Clippers,92
39,"Sun, Nov 2, 2014",Toronto Raptors,102,Miami Heat,107
40,"Sun, Nov 2, 2014",Charlotte Hornets,93,New York Knicks,96
41,"Sun, Nov 2, 2014",Golden State Warriors,95,Portland Trail Blazers,90
42,"Mon, Nov 3, 2014",Houston Rockets,104,Philadelphia 76ers,93
43,"Mon, Nov 3, 2014",Oklahoma City Thunder,85,Brooklyn Nets,116
44,"Mon, Nov 3, 2014",New Orleans Pelicans,81,Memphis Grizzlies,93
45,"Mon, Nov 3, 2014",Boston Celtics,113,Dallas Mavericks,118
46,"Mon, Nov 3, 2014",Sacramento Kings,110,Denver Nuggets,105
47,"Mon, Nov 3, 2014",Utah Jazz,101,Los Angeles Clippers,107
48,"Tue, Nov 4, 2014",Milwaukee Bucks,87,Indiana Pacers,81
49,"Tue, Nov 4, 2014",Houston Rockets,108,Miami Heat,91
50,"Tue, Nov 4, 2014",Washington Wizards,98,New York Knicks,83
51,"Tue, Nov 4, 2014",Oklahoma City Thunder,88,Toronto Raptors,100
52,"Tue, Nov 4, 2014",Orlando Magic,90,Chicago Bulls,98
53,"Tue, Nov 4, 2014",Charlotte Hornets,91,New Orleans Pelicans,100
54,"Tue, Nov 4, 2014",Cleveland Cavaliers,82,Portland Trail Blazers,101
55,"Tue, Nov 4, 2014",Phoenix Suns,112,Los Angeles Lakers,106
56,"Wed, Nov 5, 2014",Miami Heat,89,Charlotte Hornets,96
57,"Wed, Nov 5, 2014",Orlando Magic,91,Philadelphia 76ers,89
58,"Wed, Nov 5, 2014",Toronto Raptors,110,Boston Celtics,107
59,"Wed, Nov 5, 2014",Minnesota Timberwolves,98,Brooklyn Nets,91
60,"Wed, Nov 5, 2014",New York Knicks,95,Detroit Pistons,98
61,"Wed, Nov 5, 2014",Chicago Bulls,95,Milwaukee Bucks,86
62,"Wed, Nov 5, 2014",Indiana Pacers,94,Washington Wizards,96
63,"Wed, Nov 5, 2014",Atlanta Hawks,92,San Antonio Spurs,94
64,"Wed, Nov 5, 2014",Memphis Grizzlies,102,Phoenix Suns,91
65,"Wed, Nov 5, 2014",Cleveland Cavaliers,100,Utah Jazz,102
66,"Wed, Nov 5, 2014",Denver Nuggets,109,Sacramento Kings,131
67,"Wed, Nov 5, 2014",Los Angeles Clippers,104,Golden State Warriors,121
68,"Thu, Nov 6, 2014",San Antonio Spurs,81,Houston Rockets,98
69,"Thu, Nov 6, 2014",Dallas Mavericks,87,Portland Trail Blazers,108
70,"Fri, Nov 7, 2014",Atlanta Hawks,119,Charlotte Hornets,122
71,"Fri, Nov 7, 2014",Minnesota Timberwolves,103,Orlando Magic,112
72,"Fri, Nov 7, 2014",Chicago Bulls,118,Philadelphia 76ers,115
73,"Fri, Nov 7, 2014",Indiana Pacers,98,Boston Celtics,101
74,"Fri, Nov 7, 2014",New York Knicks,99,Brooklyn Nets,110
75,"Fri, Nov 7, 2014",Milwaukee Bucks,95,Detroit Pistons,98
76,"Fri, Nov 7, 2014",Washington Wizards,84,Toronto Raptors,103
