,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
0,"Tue, Oct 25, 2016",New York Knicks,88,Cleveland Cavaliers,117
1,"Tue, Oct 25, 2016",Utah Jazz,104,Portland Trail Blazers,113
2,"Tue, Oct 25, 2016",San Antonio Spurs,129,Golden State Warriors,100
3,"Wed, Oct 26, 2016",Dallas Mavericks,121,Indiana Pacers,130
4,"Wed, Oct 26, 2016",Miami Heat,108,Orlando Magic,96
5,"Wed, Oct 26, 2016",Detroit Pistons,91,Toronto Raptors,109
6,"Wed, Oct 26, 2016",Brooklyn Nets,117,Boston Celtics,122
7,"Wed, Oct 26, 2016",Charlotte Hornets,107,Milwaukee Bucks,96
8,"Wed, Oct 26, 2016",Denver Nuggets,107,New Orleans Pelicans,102
9,"Wed, Oct 26, 2016",Minnesota Timberwolves,98,Memphis Grizzlies,102
10,"Wed, Oct 26, 2016",Oklahoma City Thunder,103,Philadelphia 76ers,97
11,"Wed, Oct 26, 2016",Sacramento Kings,113,Phoenix Suns,94
12,"Wed, Oct 26, 2016",Houston Rockets,114,Los Angeles Lakers,120
13,"Thu, Oct 27, 2016",Washington Wizards,99,Atlanta Hawks,114
14,"Thu, Oct 27, 2016",Boston Celtics,99,Chicago Bulls,105
15,"Thu, Oct 27, 2016",Los Angeles Clippers,114,Portland Trail Blazers,106
16,"Thu, Oct 27, 2016",San Antonio Spurs,102,Sacramento Kings,94
17,"Fri, Oct 28, 2016",Cleveland Cavaliers,94,Toronto Raptors,91
18,"Fri, Oct 28, 2016",Indiana Pacers,94,Brooklyn Nets,103
19,"Fri, Oct 28, 2016",Orlando Magic,82,Detroit Pistons,108
20,"Fri, Oct 28, 2016",Phoenix Suns,110,Oklahoma City Thunder,113
21,"Fri, Oct 28, 2016",Charlotte Hornets,97,Miami Heat,91
22,"Fri, Oct 28, 2016",Houston Rockets,106,Dallas Mavericks,98
23,"Fri, Oct 28, 2016",Los Angeles Lakers,89,Utah Jazz,96
24,"Fri, Oct 28, 2016",Golden State Warriors,122,New Orleans Pelicans,114
25,"Sat, Oct 29, 2016",Atlanta Hawks,104,Philadelphia 76ers,72
26,"Sat, Oct 29, 2016",Boston Celtics,104,Charlotte Hornets,98
27,"Sat, Oct 29, 2016",Orlando Magic,99,Cleveland Cavaliers,105
28,"Sat, Oct 29, 2016",Memphis Grizzlies,104,New York Knicks,111
29,"Sat, Oct 29, 2016",New Orleans Pelicans,79,San Antonio Spurs,98
30,"Sat, Oct 29, 2016",Brooklyn Nets,108,Milwaukee Bucks,110
31,"Sat, Oct 29, 2016",Indiana Pacers,101,Chicago Bulls,118
32,"Sat, Oct 29, 2016",Portland Trail Blazers,115,Denver Nuggets,113
33,"Sat, Oct 29, 2016",Minnesota Timberwolves,103,Sacramento Kings,106
34,"Sun, Oct 30, 2016",Utah Jazz,75,Los Angeles Clippers,88
35,"Sun, Oct 30, 2016",Milwaukee Bucks,83,Detroit Pistons,98
36,"Sun, Oct 30, 2016",San Antonio Spurs,106,Miami Heat,99
37,"Sun, Oct 30, 2016",Golden State Warriors,106,Phoenix Suns,100
38,"Sun, Oct 30, 2016",Los Angeles Lakers,96,Oklahoma City Thunder,113
39,"Sun, Oct 30, 2016",Dallas Mavericks,92,Houston Rockets,93
40,"Sun, Oct 30, 2016",Washington Wizards,103,Memphis Grizzlies,112
41,"Mon, Oct 31, 2016",Sacramento Kings,95,Atlanta Hawks,106
42,"Mon, Oct 31, 2016",Chicago Bulls,118,Brooklyn Nets,88
43,"Mon, Oct 31, 2016",Denver Nuggets,102,Toronto Raptors,105
44,"Mon, Oct 31, 2016",Phoenix Suns,98,Los Angeles Clippers,116
45,"Tue, Nov 1, 2016",Houston Rockets,120,Cleveland Cavaliers,128
46,"Tue, Nov 1, 2016",Los Angeles Lakers,108,Indiana Pacers,115
47,"Tue, Nov 1, 2016",Orlando Magic,103,Philadelphia 76ers,101
48,"Tue, Nov 1, 2016",New York Knicks,89,Detroit Pistons,102
49,"Tue, Nov 1, 2016",Sacramento Kings,96,Miami Heat,108
50,"Tue, Nov 1, 2016",Memphis Grizzlies,80,Minnesota Timberwolves,116
51,"Tue, Nov 1, 2016",Milwaukee Bucks,117,New Orleans Pelicans,113
52,"Tue, Nov 1, 2016",Utah Jazz,106,San Antonio Spurs,91
53,"Tue, Nov 1, 2016",Golden State Warriors,127,Portland Trail Blazers,104
54,"Wed, Nov 2, 2016",Philadelphia 76ers,93,Charlotte Hornets,109
55,"Wed, Nov 2, 2016",Toronto Raptors,113,Washington Wizards,103
56,"Wed, Nov 2, 2016",Los Angeles Lakers,123,Atlanta Hawks,116
57,"Wed, Nov 2, 2016",Detroit Pistons,101,Brooklyn Nets,109
58,"Wed, Nov 2, 2016",Houston Rockets,118,New York Knicks,99
